
Pavarde       Vardas         Galutinis (Vid.)    Galutinis (Med.)    
Pavarde77      Vardas77       x.xx                4.20                
Pavarde78      Vardas78       x.xx                8.00                
Pavarde79      Vardas79       x.xx                4.40                
Pavarde80      Vardas80       x.xx                7.20                
Pavarde81      Vardas81       x.xx                4.00                
Pavarde82      Vardas82       x.xx                2.80                
Pavarde83      Vardas83       x.xx                4.60                
Pavarde84      Vardas84       x.xx                5.00                
Pavarde85      Vardas85       x.xx                4.40                
Pavarde86      Vardas86       x.xx                5.60                
Pavarde87      Vardas87       x.xx                7.00                
Pavarde88      Vardas88       x.xx                6.60                
Pavarde89      Vardas89       x.xx                6.20                
Pavarde90      Vardas90       x.xx                8.20                
Pavarde91      Vardas91       x.xx                6.00                
Pavarde92      Vardas92       x.xx                7.60                
Pavarde93      Vardas93       x.xx                5.40                
Pavarde94      Vardas94       x.xx                7.40                
Pavarde95      Vardas95       x.xx                5.00                
Pavarde96      Vardas96       x.xx                4.40                
Pavarde97      Vardas97       x.xx                8.80                
Pavarde98      Vardas98       x.xx                5.40                
Pavarde99      Vardas99       x.xx                6.00                
Pavarde100     Vardas100      x.xx                6.00                
Pavarde101     Vardas101      x.xx                4.60                
Pavarde102     Vardas102      x.xx                5.60                
Pavarde103     Vardas103      x.xx                6.00                
Pavarde104     Vardas104      x.xx                8.40                
Pavarde105     Vardas105      x.xx                4.00                
Pavarde106     Vardas106      x.xx                6.20                
Pavarde107     Vardas107      x.xx                4.00                
Pavarde108     Vardas108      x.xx                6.20                
Pavarde109     Vardas109      x.xx                5.80                
Pavarde110     Vardas110      x.xx                6.60                
Pavarde111     Vardas111      x.xx                2.60                
Pavarde112     Vardas112      x.xx                8.20                
Pavarde113     Vardas113      x.xx                8.00                
Pavarde114     Vardas114      x.xx                4.80                
Pavarde115     Vardas115      x.xx                7.40                
Pavarde116     Vardas116      x.xx                8.00                
Pavarde117     Vardas117      x.xx                5.40                
Pavarde118     Vardas118      x.xx                8.00                
Pavarde119     Vardas119      x.xx                4.00                
Pavarde120     Vardas120      x.xx                6.20                
Pavarde121     Vardas121      x.xx                3.40                
Pavarde122     Vardas122      x.xx                7.80                
Pavarde123     Vardas123      x.xx                3.60                
Pavarde124     Vardas124      x.xx                5.80                
Pavarde125     Vardas125      x.xx                4.20                
Pavarde126     Vardas126      x.xx                3.40                
Pavarde127     Vardas127      x.xx                6.40                
Pavarde128     Vardas128      x.xx                7.40                
Pavarde129     Vardas129      x.xx                4.40                
Pavarde130     Vardas130      x.xx                6.80                
Pavarde131     Vardas131      x.xx                3.40                
Pavarde132     Vardas132      x.xx                2.20                
Pavarde133     Vardas133      x.xx                6.40                
Pavarde134     Vardas134      x.xx                4.00                
Pavarde135     Vardas135      x.xx                7.80                
Pavarde136     Vardas136      x.xx                7.20                
Pavarde137     Vardas137      x.xx                6.20                
Pavarde138     Vardas138      x.xx                3.40                
Pavarde139     Vardas139      x.xx                3.80                
Pavarde140     Vardas140      x.xx                2.60                
Pavarde141     Vardas141      x.xx                2.80                
Pavarde142     Vardas142      x.xx                3.00                
Pavarde143     Vardas143      x.xx                7.80                
Pavarde144     Vardas144      x.xx                3.60                
Pavarde145     Vardas145      x.xx                5.80                
Pavarde146     Vardas146      x.xx                5.20                
Pavarde147     Vardas147      x.xx                2.20                
Pavarde148     Vardas148      x.xx                5.60                
Pavarde149     Vardas149      x.xx                4.00                
Pavarde150     Vardas150      x.xx                3.40                
Pavarde151     Vardas151      x.xx                3.20                
Pavarde152     Vardas152      x.xx                4.40                
Pavarde153     Vardas153      x.xx                6.60                
Pavarde154     Vardas154      x.xx                3.00                
Pavarde155     Vardas155      x.xx                2.20                
Pavarde156     Vardas156      x.xx                5.60                
Pavarde157     Vardas157      x.xx                6.60                
Pavarde158     Vardas158      x.xx                8.40                
Pavarde159     Vardas159      x.xx                6.20                
Pavarde160     Vardas160      x.xx                3.20                
Pavarde161     Vardas161      x.xx                4.80                
Pavarde162     Vardas162      x.xx                4.80                
Pavarde163     Vardas163      x.xx                8.60                
Pavarde164     Vardas164      x.xx                7.20                
Pavarde165     Vardas165      x.xx                4.60                
Pavarde166     Vardas166      x.xx                5.40                
Pavarde167     Vardas167      x.xx                5.40                
Pavarde168     Vardas168      x.xx                3.00                
Pavarde169     Vardas169      x.xx                8.80                
Pavarde170     Vardas170      x.xx                6.40                
Pavarde171     Vardas171      x.xx                4.80                
Pavarde172     Vardas172      x.xx                3.00                
Pavarde173     Vardas173      x.xx                6.60                
Pavarde174     Vardas174      x.xx                5.00                
Pavarde175     Vardas175      x.xx                6.60                
Pavarde176     Vardas176      x.xx                5.60                
Pavarde177     Vardas177      x.xx                7.00                
Pavarde178     Vardas178      x.xx                8.00                
Pavarde179     Vardas179      x.xx                7.80                
Pavarde180     Vardas180      x.xx                3.80                
Pavarde181     Vardas181      x.xx                6.60                
Pavarde182     Vardas182      x.xx                3.00                
Pavarde183     Vardas183      x.xx                2.20                
Pavarde184     Vardas184      x.xx                3.00                
Pavarde185     Vardas185      x.xx                7.20                
Pavarde186     Vardas186      x.xx                7.20                
Pavarde187     Vardas187      x.xx                5.80                
Pavarde188     Vardas188      x.xx                7.60                
Pavarde189     Vardas189      x.xx                4.40                
Pavarde190     Vardas190      x.xx                4.80                
Pavarde191     Vardas191      x.xx                3.40                
Pavarde192     Vardas192      x.xx                4.60                
Pavarde193     Vardas193      x.xx                6.00                
Pavarde194     Vardas194      x.xx                7.00                
Pavarde195     Vardas195      x.xx                8.00                
Pavarde196     Vardas196      x.xx                2.60                
Pavarde197     Vardas197      x.xx                3.20                
Pavarde198     Vardas198      x.xx                3.80                
Pavarde199     Vardas199      x.xx                5.80                
Pavarde200     Vardas200      x.xx                7.20                
Pavarde201     Vardas201      x.xx                2.60                
Pavarde202     Vardas202      x.xx                7.00                
Pavarde203     Vardas203      x.xx                4.20                
Pavarde204     Vardas204      x.xx                5.00                
Pavarde205     Vardas205      x.xx                5.20                
Pavarde206     Vardas206      x.xx                4.00                
Pavarde207     Vardas207      x.xx                3.60                
Pavarde208     Vardas208      x.xx                4.00                
Pavarde209     Vardas209      x.xx                7.00                
Pavarde210     Vardas210      x.xx                5.40                
Pavarde211     Vardas211      x.xx                4.20                
Pavarde212     Vardas212      x.xx                2.80                
Pavarde213     Vardas213      x.xx                6.20                
Pavarde214     Vardas214      x.xx                6.00                
Pavarde215     Vardas215      x.xx                4.80                
Pavarde216     Vardas216      x.xx                2.40                
Pavarde217     Vardas217      x.xx                3.80                
Pavarde218     Vardas218      x.xx                3.60                
Pavarde219     Vardas219      x.xx                5.00                
Pavarde220     Vardas220      x.xx                8.80                
Pavarde221     Vardas221      x.xx                7.40                
Pavarde222     Vardas222      x.xx                2.40                
Pavarde223     Vardas223      x.xx                5.80                
Pavarde224     Vardas224      x.xx                7.40                
Pavarde225     Vardas225      x.xx                8.00                
Pavarde226     Vardas226      x.xx                5.40                
Pavarde227     Vardas227      x.xx                2.20                
Pavarde228     Vardas228      x.xx                6.80                
Pavarde229     Vardas229      x.xx                3.80                
Pavarde230     Vardas230      x.xx                2.60                
Pavarde231     Vardas231      x.xx                7.60                
Pavarde232     Vardas232      x.xx                6.20                
Pavarde233     Vardas233      x.xx                3.40                
Pavarde234     Vardas234      x.xx                6.20                
Pavarde235     Vardas235      x.xx                7.40                
Pavarde236     Vardas236      x.xx                7.00                
Pavarde237     Vardas237      x.xx                6.40                
Pavarde238     Vardas238      x.xx                4.00                
Pavarde239     Vardas239      x.xx                5.80                
Pavarde240     Vardas240      x.xx                4.60                
Pavarde241     Vardas241      x.xx                8.40                
Pavarde242     Vardas242      x.xx                4.40                
Pavarde243     Vardas243      x.xx                8.80                
Pavarde244     Vardas244      x.xx                3.80                
Pavarde245     Vardas245      x.xx                5.20                
Pavarde246     Vardas246      x.xx                5.20                
Pavarde247     Vardas247      x.xx                7.20                
Pavarde248     Vardas248      x.xx                4.20                
Pavarde249     Vardas249      x.xx                6.60                
Pavarde250     Vardas250      x.xx                7.60                
Pavarde251     Vardas251      x.xx                3.40                
Pavarde252     Vardas252      x.xx                6.40                
Pavarde253     Vardas253      x.xx                3.20                
Pavarde254     Vardas254      x.xx                7.00                
Pavarde255     Vardas255      x.xx                3.00                
Pavarde256     Vardas256      x.xx                7.00                
Pavarde257     Vardas257      x.xx                5.80                
Pavarde258     Vardas258      x.xx                7.20                
Pavarde259     Vardas259      x.xx                7.00                
Pavarde260     Vardas260      x.xx                7.20                
Pavarde261     Vardas261      x.xx                8.80                
Pavarde262     Vardas262      x.xx                8.00                
Pavarde263     Vardas263      x.xx                2.60                
Pavarde264     Vardas264      x.xx                4.00                
Pavarde265     Vardas265      x.xx                6.20                
Pavarde266     Vardas266      x.xx                5.80                
Pavarde267     Vardas267      x.xx                8.40                
Pavarde268     Vardas268      x.xx                4.60                
Pavarde269     Vardas269      x.xx                2.20                
Pavarde270     Vardas270      x.xx                8.00                
Pavarde271     Vardas271      x.xx                8.80                
Pavarde272     Vardas272      x.xx                7.80                
Pavarde273     Vardas273      x.xx                3.60                
Pavarde274     Vardas274      x.xx                4.60                
Pavarde275     Vardas275      x.xx                7.00                
Pavarde276     Vardas276      x.xx                5.80                
Pavarde277     Vardas277      x.xx                6.60                
Pavarde278     Vardas278      x.xx                3.20                
Pavarde279     Vardas279      x.xx                8.40                
Pavarde280     Vardas280      x.xx                3.20                
Pavarde281     Vardas281      x.xx                7.40                
Pavarde282     Vardas282      x.xx                6.20                
Pavarde283     Vardas283      x.xx                8.40                
Pavarde284     Vardas284      x.xx                4.40                
Pavarde285     Vardas285      x.xx                7.60                
Pavarde286     Vardas286      x.xx                3.60                
Pavarde287     Vardas287      x.xx                4.60                
Pavarde288     Vardas288      x.xx                6.20                
Pavarde289     Vardas289      x.xx                7.40                
Pavarde290     Vardas290      x.xx                3.80                
Pavarde291     Vardas291      x.xx                3.60                
Pavarde292     Vardas292      x.xx                3.60                
Pavarde293     Vardas293      x.xx                6.60                
Pavarde294     Vardas294      x.xx                7.40                
Pavarde295     Vardas295      x.xx                3.00                
Pavarde296     Vardas296      x.xx                4.60                
Pavarde297     Vardas297      x.xx                4.80                
Pavarde298     Vardas298      x.xx                5.00                
Pavarde299     Vardas299      x.xx                6.80                
Pavarde300     Vardas300      x.xx                5.20                
Pavarde301     Vardas301      x.xx                4.80                
Pavarde302     Vardas302      x.xx                7.00                
Pavarde303     Vardas303      x.xx                3.80                
Pavarde304     Vardas304      x.xx                3.40                
Pavarde305     Vardas305      x.xx                4.00                
Pavarde306     Vardas306      x.xx                6.80                
Pavarde307     Vardas307      x.xx                2.60                
Pavarde308     Vardas308      x.xx                8.20                
Pavarde309     Vardas309      x.xx                8.00                
Pavarde310     Vardas310      x.xx                8.80                
Pavarde311     Vardas311      x.xx                4.20                
Pavarde312     Vardas312      x.xx                6.20                
Pavarde313     Vardas313      x.xx                5.20                
Pavarde314     Vardas314      x.xx                6.60                
Pavarde315     Vardas315      x.xx                7.20                
Pavarde316     Vardas316      x.xx                3.00                
Pavarde317     Vardas317      x.xx                8.40                
Pavarde318     Vardas318      x.xx                4.80                
Pavarde319     Vardas319      x.xx                4.60                
Pavarde320     Vardas320      x.xx                4.80                
Pavarde321     Vardas321      x.xx                4.00                
Pavarde322     Vardas322      x.xx                4.60                
Pavarde323     Vardas323      x.xx                4.80                
Pavarde324     Vardas324      x.xx                7.40                
Pavarde325     Vardas325      x.xx                6.60                
Pavarde326     Vardas326      x.xx                7.80                
Pavarde327     Vardas327      x.xx                4.80                
Pavarde328     Vardas328      x.xx                5.40                
Pavarde329     Vardas329      x.xx                6.80                
Pavarde330     Vardas330      x.xx                7.60                
Pavarde331     Vardas331      x.xx                6.00                
Pavarde332     Vardas332      x.xx                6.00                
Pavarde333     Vardas333      x.xx                5.20                
Pavarde334     Vardas334      x.xx                3.60                
Pavarde335     Vardas335      x.xx                2.60                
Pavarde336     Vardas336      x.xx                6.00                
Pavarde337     Vardas337      x.xx                4.20                
Pavarde338     Vardas338      x.xx                8.00                
Pavarde339     Vardas339      x.xx                5.20                
Pavarde340     Vardas340      x.xx                7.60                
Pavarde341     Vardas341      x.xx                5.20                
Pavarde342     Vardas342      x.xx                5.40                
Pavarde343     Vardas343      x.xx                1.80                
Pavarde344     Vardas344      x.xx                7.60                
Pavarde345     Vardas345      x.xx                3.80                
Pavarde346     Vardas346      x.xx                5.00                
Pavarde347     Vardas347      x.xx                5.40                
Pavarde348     Vardas348      x.xx                9.20                
Pavarde349     Vardas349      x.xx                6.40                
Pavarde350     Vardas350      x.xx                4.20                
Pavarde351     Vardas351      x.xx                6.00                
Pavarde352     Vardas352      x.xx                6.60                
Pavarde353     Vardas353      x.xx                7.80                
Pavarde354     Vardas354      x.xx                2.80                
Pavarde355     Vardas355      x.xx                5.20                
Pavarde356     Vardas356      x.xx                2.60                
Pavarde357     Vardas357      x.xx                4.80                
Pavarde358     Vardas358      x.xx                4.60                
Pavarde359     Vardas359      x.xx                8.80                
Pavarde360     Vardas360      x.xx                3.80                
Pavarde361     Vardas361      x.xx                7.40                
Pavarde362     Vardas362      x.xx                3.60                
Pavarde363     Vardas363      x.xx                6.60                
Pavarde364     Vardas364      x.xx                7.40                
Pavarde365     Vardas365      x.xx                2.60                
Pavarde366     Vardas366      x.xx                3.00                
Pavarde367     Vardas367      x.xx                1.80                
Pavarde368     Vardas368      x.xx                5.60                
Pavarde369     Vardas369      x.xx                2.80                
Pavarde370     Vardas370      x.xx                3.40                
Pavarde371     Vardas371      x.xx                3.20                
Pavarde372     Vardas372      x.xx                3.20                
Pavarde373     Vardas373      x.xx                4.80                
Pavarde374     Vardas374      x.xx                3.00                
Pavarde375     Vardas375      x.xx                4.00                
Pavarde376     Vardas376      x.xx                6.40                
Pavarde377     Vardas377      x.xx                7.00                
Pavarde378     Vardas378      x.xx                4.60                
Pavarde379     Vardas379      x.xx                2.20                
Pavarde380     Vardas380      x.xx                3.60                
Pavarde381     Vardas381      x.xx                4.80                
Pavarde382     Vardas382      x.xx                4.20                
Pavarde383     Vardas383      x.xx                5.80                
Pavarde384     Vardas384      x.xx                7.60                
Pavarde385     Vardas385      x.xx                8.40                
Pavarde386     Vardas386      x.xx                4.20                
Pavarde387     Vardas387      x.xx                8.00                
Pavarde388     Vardas388      x.xx                3.80                
Pavarde389     Vardas389      x.xx                3.80                
Pavarde390     Vardas390      x.xx                4.80                
Pavarde391     Vardas391      x.xx                4.40                
Pavarde392     Vardas392      x.xx                5.60                
Pavarde393     Vardas393      x.xx                4.20                
Pavarde394     Vardas394      x.xx                3.00                
Pavarde395     Vardas395      x.xx                4.80                
Pavarde396     Vardas396      x.xx                4.60                
Pavarde397     Vardas397      x.xx                5.60                
Pavarde398     Vardas398      x.xx                7.20                
Pavarde399     Vardas399      x.xx                6.20                
Pavarde400     Vardas400      x.xx                2.60                
Pavarde401     Vardas401      x.xx                6.00                
Pavarde402     Vardas402      x.xx                7.60                
Pavarde403     Vardas403      x.xx                2.20                
Pavarde404     Vardas404      x.xx                8.20                
Pavarde405     Vardas405      x.xx                4.60                
Pavarde406     Vardas406      x.xx                3.20                
Pavarde407     Vardas407      x.xx                8.00                
Pavarde408     Vardas408      x.xx                4.20                
Pavarde409     Vardas409      x.xx                2.60                
Pavarde410     Vardas410      x.xx                8.80                
Pavarde411     Vardas411      x.xx                6.20                
Pavarde412     Vardas412      x.xx                8.00                
Pavarde413     Vardas413      x.xx                7.40                
Pavarde414     Vardas414      x.xx                3.80                
Pavarde415     Vardas415      x.xx                3.20                
Pavarde416     Vardas416      x.xx                5.40                
Pavarde417     Vardas417      x.xx                6.80                
Pavarde418     Vardas418      x.xx                4.40                
Pavarde419     Vardas419      x.xx                6.00                
Pavarde420     Vardas420      x.xx                7.20                
Pavarde421     Vardas421      x.xx                6.80                
Pavarde422     Vardas422      x.xx                3.00                
Pavarde423     Vardas423      x.xx                7.20                
Pavarde424     Vardas424      x.xx                3.60                
Pavarde425     Vardas425      x.xx                5.60                
Pavarde426     Vardas426      x.xx                4.00                
Pavarde427     Vardas427      x.xx                8.40                
Pavarde428     Vardas428      x.xx                2.60                
Pavarde429     Vardas429      x.xx                3.80                
Pavarde430     Vardas430      x.xx                5.20                
Pavarde431     Vardas431      x.xx                5.00                
Pavarde432     Vardas432      x.xx                3.80                
Pavarde433     Vardas433      x.xx                8.40                
Pavarde434     Vardas434      x.xx                2.60                
Pavarde435     Vardas435      x.xx                5.40                
Pavarde436     Vardas436      x.xx                6.60                
Pavarde437     Vardas437      x.xx                7.00                
Pavarde438     Vardas438      x.xx                4.40                
Pavarde439     Vardas439      x.xx                5.40                
Pavarde440     Vardas440      x.xx                6.40                
Pavarde441     Vardas441      x.xx                6.80                
Pavarde442     Vardas442      x.xx                7.60                
Pavarde443     Vardas443      x.xx                3.60                
Pavarde444     Vardas444      x.xx                8.40                
Pavarde445     Vardas445      x.xx                2.60                
Pavarde446     Vardas446      x.xx                4.80                
Pavarde447     Vardas447      x.xx                4.40                
Pavarde448     Vardas448      x.xx                5.80                
Pavarde449     Vardas449      x.xx                5.60                
Pavarde450     Vardas450      x.xx                7.40                
Pavarde451     Vardas451      x.xx                8.40                
Pavarde452     Vardas452      x.xx                8.00                
Pavarde453     Vardas453      x.xx                8.40                
Pavarde454     Vardas454      x.xx                4.60                
Pavarde455     Vardas455      x.xx                6.40                
Pavarde456     Vardas456      x.xx                3.40                
Pavarde457     Vardas457      x.xx                5.00                
Pavarde458     Vardas458      x.xx                3.80                
Pavarde459     Vardas459      x.xx                3.80                
Pavarde460     Vardas460      x.xx                3.40                
Pavarde461     Vardas461      x.xx                2.80                
Pavarde462     Vardas462      x.xx                4.40                
Pavarde463     Vardas463      x.xx                7.60                
Pavarde464     Vardas464      x.xx                3.80                
Pavarde465     Vardas465      x.xx                8.20                
Pavarde466     Vardas466      x.xx                7.80                
Pavarde467     Vardas467      x.xx                5.20                
Pavarde468     Vardas468      x.xx                7.00                
Pavarde469     Vardas469      x.xx                8.80                
Pavarde470     Vardas470      x.xx                6.20                
Pavarde471     Vardas471      x.xx                4.80                
Pavarde472     Vardas472      x.xx                6.60                
Pavarde473     Vardas473      x.xx                8.40                
Pavarde474     Vardas474      x.xx                6.00                
Pavarde475     Vardas475      x.xx                8.80                
Pavarde476     Vardas476      x.xx                3.40                
Pavarde477     Vardas477      x.xx                5.40                
Pavarde478     Vardas478      x.xx                3.00                
Pavarde479     Vardas479      x.xx                3.60                
Pavarde480     Vardas480      x.xx                3.20                
Pavarde481     Vardas481      x.xx                5.40                
Pavarde482     Vardas482      x.xx                7.60                
Pavarde483     Vardas483      x.xx                6.00                
Pavarde484     Vardas484      x.xx                8.40                
Pavarde485     Vardas485      x.xx                8.60                
Pavarde486     Vardas486      x.xx                5.00                
Pavarde487     Vardas487      x.xx                8.00                
Pavarde488     Vardas488      x.xx                6.20                
Pavarde489     Vardas489      x.xx                5.20                
Pavarde490     Vardas490      x.xx                4.20                
Pavarde491     Vardas491      x.xx                6.60                
Pavarde492     Vardas492      x.xx                5.00                
Pavarde493     Vardas493      x.xx                6.00                
Pavarde494     Vardas494      x.xx                2.60                
Pavarde495     Vardas495      x.xx                5.80                
Pavarde496     Vardas496      x.xx                5.40                
Pavarde497     Vardas497      x.xx                3.40                
Pavarde498     Vardas498      x.xx                8.00                
Pavarde499     Vardas499      x.xx                5.20                
Pavarde500     Vardas500      x.xx                8.60                
Pavarde501     Vardas501      x.xx                6.40                
Pavarde502     Vardas502      x.xx                7.20                
Pavarde503     Vardas503      x.xx                7.40                
Pavarde504     Vardas504      x.xx                2.60                
Pavarde505     Vardas505      x.xx                7.00                
Pavarde506     Vardas506      x.xx                3.80                
Pavarde507     Vardas507      x.xx                8.40                
Pavarde508     Vardas508      x.xx                4.80                
Pavarde509     Vardas509      x.xx                4.40                
Pavarde510     Vardas510      x.xx                6.80                
Pavarde511     Vardas511      x.xx                8.00                
Pavarde512     Vardas512      x.xx                8.00                
Pavarde513     Vardas513      x.xx                5.20                
Pavarde514     Vardas514      x.xx                6.40                
Pavarde515     Vardas515      x.xx                4.60                
Pavarde516     Vardas516      x.xx                5.60                
Pavarde517     Vardas517      x.xx                5.80                
Pavarde518     Vardas518      x.xx                5.20                
Pavarde519     Vardas519      x.xx                3.40                
Pavarde520     Vardas520      x.xx                7.00                
Pavarde521     Vardas521      x.xx                4.00                
Pavarde522     Vardas522      x.xx                6.60                
Pavarde523     Vardas523      x.xx                8.80                
Pavarde524     Vardas524      x.xx                5.60                
Pavarde525     Vardas525      x.xx                8.40                
Pavarde526     Vardas526      x.xx                5.60                
Pavarde527     Vardas527      x.xx                6.40                
Pavarde528     Vardas528      x.xx                6.40                
Pavarde529     Vardas529      x.xx                5.60                
Pavarde530     Vardas530      x.xx                5.40                
Pavarde531     Vardas531      x.xx                2.80                
Pavarde532     Vardas532      x.xx                4.00                
Pavarde533     Vardas533      x.xx                6.60                
Pavarde534     Vardas534      x.xx                6.80                
Pavarde535     Vardas535      x.xx                6.20                
Pavarde536     Vardas536      x.xx                7.60                
Pavarde537     Vardas537      x.xx                2.20                
Pavarde538     Vardas538      x.xx                2.80                
Pavarde539     Vardas539      x.xx                8.40                
Pavarde540     Vardas540      x.xx                8.80                
Pavarde541     Vardas541      x.xx                5.80                
Pavarde542     Vardas542      x.xx                8.00                
Pavarde543     Vardas543      x.xx                5.00                
Pavarde544     Vardas544      x.xx                4.60                
Pavarde545     Vardas545      x.xx                2.20                
Pavarde546     Vardas546      x.xx                4.20                
Pavarde547     Vardas547      x.xx                6.40                
Pavarde548     Vardas548      x.xx                4.20                
Pavarde549     Vardas549      x.xx                3.00                
Pavarde550     Vardas550      x.xx                6.60                
Pavarde551     Vardas551      x.xx                6.00                
Pavarde552     Vardas552      x.xx                4.20                
Pavarde553     Vardas553      x.xx                4.00                
Pavarde554     Vardas554      x.xx                5.20                
Pavarde555     Vardas555      x.xx                7.80                
Pavarde556     Vardas556      x.xx                2.20                
Pavarde557     Vardas557      x.xx                7.80                
Pavarde558     Vardas558      x.xx                2.60                
Pavarde559     Vardas559      x.xx                6.20                
Pavarde560     Vardas560      x.xx                8.40                
Pavarde561     Vardas561      x.xx                7.60                
Pavarde562     Vardas562      x.xx                6.60                
Pavarde563     Vardas563      x.xx                7.40                
Pavarde564     Vardas564      x.xx                3.20                
Pavarde565     Vardas565      x.xx                4.60                
Pavarde566     Vardas566      x.xx                2.20                
Pavarde567     Vardas567      x.xx                3.20                
Pavarde568     Vardas568      x.xx                6.20                
Pavarde569     Vardas569      x.xx                5.40                
Pavarde570     Vardas570      x.xx                8.80                
Pavarde571     Vardas571      x.xx                5.20                
Pavarde572     Vardas572      x.xx                6.40                
Pavarde573     Vardas573      x.xx                7.40                
Pavarde574     Vardas574      x.xx                2.40                
Pavarde575     Vardas575      x.xx                8.40                
Pavarde576     Vardas576      x.xx                8.00                
Pavarde577     Vardas577      x.xx                4.40                
Pavarde578     Vardas578      x.xx                5.80                
Pavarde579     Vardas579      x.xx                7.20                
Pavarde580     Vardas580      x.xx                3.00                
Pavarde581     Vardas581      x.xx                4.60                
Pavarde582     Vardas582      x.xx                3.20                
Pavarde583     Vardas583      x.xx                3.60                
Pavarde584     Vardas584      x.xx                7.20                
Pavarde585     Vardas585      x.xx                5.20                
Pavarde586     Vardas586      x.xx                4.80                
Pavarde587     Vardas587      x.xx                8.60                
Pavarde588     Vardas588      x.xx                2.80                
Pavarde589     Vardas589      x.xx                8.40                
Pavarde590     Vardas590      x.xx                5.40                
Pavarde591     Vardas591      x.xx                5.80                
Pavarde592     Vardas592      x.xx                3.40                
Pavarde593     Vardas593      x.xx                5.20                
Pavarde594     Vardas594      x.xx                3.20                
Pavarde595     Vardas595      x.xx                4.00                
Pavarde596     Vardas596      x.xx                5.00                
Pavarde597     Vardas597      x.xx                5.20                
Pavarde598     Vardas598      x.xx                4.80                
Pavarde599     Vardas599      x.xx                2.60                
Pavarde600     Vardas600      x.xx                5.00                
Pavarde601     Vardas601      x.xx                5.60                
Pavarde602     Vardas602      x.xx                4.20                
Pavarde603     Vardas603      x.xx                5.80                
Pavarde604     Vardas604      x.xx                5.60                
Pavarde605     Vardas605      x.xx                4.00                
